Platform,min,max,sum
2600,70000.0,7810000.0,97080000.0
3DO,20000.0,60000.0,100000.0
3DS,10000.0,14350000.0,247460000.0
DC,20000.0,2420000.0,15970000.0
DS,10000.0,30010000.0,822490000.0
GB,60000.0,31370000.0,255450000.0
GBA,10000.0,15850000.0,318500000.0
GC,10000.0,7070000.0,199360000.0
GEN,30000.0,6030000.0,28360000.0
GG,40000.0,40000.0,40000.0
N64,10000.0,11890000.0,218880000.0
NES,60000.0,40240000.0,251070000.0
NG,20000.0,250000.0,1440000.0
PC,10000.0,8109999.999999999,258820000.0
PCFX,30000.0,30000.0,30000.0
PS,10000.0,10950000.0,730660000.0
PS2,10000.0,20810000.0,1255640000.0
PS3,10000.0,21400000.0,957840000.0
PS4,10000.0,14240000.0,278100000.0
PSP,10000.0,7720000.0,296280000.0
PSV,10000.0,2250000.0,61930000.0
SAT,20000.0,1930000.0,33590000.0
SCD,50000.0,1500000.0,1870000.0
SNES,10000.0,20610000.0,200050000.0
TG16,20000.0,140000.0,160000.0
WS,30000.0,510000.0,1420000.0
Wii,10000.0,82740000.0,926710000.0
WiiU,10000.0,6960000.0,81860000.0
X360,10000.0,21820000.0,979960000.0
XB,10000.0,8490000.0,258260000.0
XOne,10000.0,7300000.0,141060000.0
